"Cmpd","rt","inferred.mass","inferred.formula","C","H","N","O","P","S","C:N:P","H/C","O/C","N/C","CHO_index","NOSC","DBE","DBE-O","Annotation","Kingdon","Superclass","class","subclass","parent","pubchem.url"
"C535",223.814,288.12,"C12H20N2O4S",12,20,2,4,0,1,"12:2:0",1.66666666666667,0.333333333333333,0.166666666666667,-1,-0.333333333333333,4,0,"R-Soterenol_2","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides","https://pubchem.ncbi.nlm.nih.gov/compound/443398"
"C536",223.669,292.1324,"C12H16N6O3",12,16,6,3,0,0,"12:6:0",1.33333333333333,0.25,0.5,-0.833333333333333,0.666666666666667,8,5,"Histidinyl-Histidine_1",NA,NA,NA,NA,NA,NA
"C537",225.4765,340.1515,"C12H24N2O9",12,24,2,9,0,0,"12:2:0",2,0.75,0.166666666666667,-0.5,0,2,-7,"3,3'-Neotrehalosadiamine;BMY 28251_5",NA,NA,NA,NA,NA,NA
"C538",225.6355,298.1407,"C14H22N2O3S",14,22,2,3,0,1,"14:2:0",1.57142857142857,0.214285714285714,0.142857142857143,-1.14285714285714,-0.571428571428571,5,2,"piprozolin_2",NA,NA,NA,NA,NA,NA
"C539",225.31,294.1098,"C10H18N2O8",10,18,2,8,0,0,"10:2:0",1.8,0.8,0.2,-0.2,0.4,3,-5,"Distichonic acid B",NA,NA,NA,NA,NA,NA
"C540",224.333,254.1138,"C12H18N2O2S",12,18,2,2,0,1,"12:2:0",1.5,0.166666666666667,0.166666666666667,-1.16666666666667,-0.5,5,3,"Thiamylal_4","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiobarbituric acid derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/5436"
"C541",230.064,228.0986,"C10H16N2O2S",10,16,2,2,0,1,"10:2:0",1.6,0.2,0.2,-1.2,-0.4,4,2,"(2s)-2-Amino-4-(Methylsulfanyl)-1-Pyridin-2-Ylbutane-1,1-Diol",NA,NA,NA,NA,NA,NA
"C542",228.694,254.0767,"C11H14N2O3S",11,14,2,3,0,1,"11:2:0",1.27272727272727,0.272727272727273,0.181818181818182,-0.727272727272727,0,6,3,"S-(Phenylacetothiohydroximoyl)-L-cysteine_2","Organic compounds","Organic acids and derivatives","Thiohydroximic acids and derivatives","Thiohydroximic acids","S-alkyl-thiohydroximates","https://pubchem.ncbi.nlm.nih.gov/compound/25246414"
"C543",229.014,368.1076,"C11H21N4O8P",11,21,4,8,1,0,"11:4:1",1.90909090909091,0.727272727272727,0.363636363636364,-0.454545454545455,0.181818181818182,3.5,-4.5,"(2S)-2-[[2-[(2-amino-1-oxoethyl)amino]-1-oxoethyl]amino]-5-[(1-oxo-2-phosphonoethyl)amino]pentanoic acid_2",NA,NA,NA,NA,NA,NA
"C544",230.729,326.1351,"C15H22N2O4S",15,22,2,4,0,1,"15:2:0",1.46666666666667,0.266666666666667,0.133333333333333,-0.933333333333333,-0.4,6,2,"Hydroxyhexamide_3",NA,NA,NA,NA,NA,NA
"C545",231.9665,336.1203,"C12H20N2O9",12,20,2,9,0,0,"12:2:0",1.66666666666667,0.75,0.166666666666667,-0.166666666666667,0.333333333333333,4,-5,"3-Hydroxymugineic acid_2",NA,NA,NA,NA,NA,NA
"C546",230.336,314.1341,"C13H22N4O3S",13,22,4,3,0,1,"13:4:0",1.69230769230769,0.230769230769231,0.307692307692308,-1.23076923076923,-0.153846153846154,5,2,"Ranitidine_2","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines","https://pubchem.ncbi.nlm.nih.gov/compound/3001055"
"C547",230.3855,264.1009,"C11H20O5S",11,20,0,5,0,1,"11:0:0",1.81818181818182,0.454545454545455,0,-0.909090909090909,-0.727272727272728,2,-3,"2-(6'-Methylthio)hexylmalic acid_3",NA,NA,NA,NA,NA,NA
"C548",231.381,320.1167,"C12H20N2O8",12,20,2,8,0,0,"12:2:0",1.66666666666667,0.666666666666667,0.166666666666667,-0.333333333333333,0.166666666666667,4,-4,"Isomugineic acid_2",NA,NA,NA,NA,NA,NA
"C549",231.395,244.0939,"C10H16N2O3S",10,16,2,3,0,1,"10:2:0",1.6,0.3,0.2,-1,-0.2,4,1,"Biotin_3","Organic compounds","Organoheterocyclic compounds","Biotin and derivatives",NA,"Biotin and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/171548"
"C550",231.1285,254.1147,"C12H18N2O2S",12,18,2,2,0,1,"12:2:0",1.5,0.166666666666667,0.166666666666667,-1.16666666666667,-0.5,5,3,"Thiamylal_5","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiobarbituric acid derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/5436"
"C551",231.5215,340.1515,"C12H24N2O9",12,24,2,9,0,0,"12:2:0",2,0.75,0.166666666666667,-0.5,0,2,-7,"Fortimicin FU-10","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminocyclitol glycosides","https://pubchem.ncbi.nlm.nih.gov/compound/46174014"
"C552",231.215,222.0885,"C10H14N4S",10,14,4,0,0,1,"10:4:0",1.4,0,0.4,-1.4,0,6,6,"6-(Pentylthio)-1H-purine_4","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines","https://pubchem.ncbi.nlm.nih.gov/compound/79515"
"C553",234.7945,272.1242,"C12H20N2O3S",12,20,2,3,0,1,"12:2:0",1.66666666666667,0.25,0.166666666666667,-1.16666666666667,-0.5,4,1,"Sotalol_1","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides","https://pubchem.ncbi.nlm.nih.gov/compound/5253"
"C554",234.9955,268.0939,"C12H16N2O3S",12,16,2,3,0,1,"12:2:0",1.33333333333333,0.25,0.166666666666667,-0.833333333333333,-0.166666666666667,6,3,"Cysteinyl-Phenylalanine",NA,NA,NA,NA,NA,NA
"C555",234.466,166.0986,"C10H14O2",10,14,0,2,0,0,"10:0:0",1.4,0.2,0,-1,-1,4,2,"Perillic acid",NA,NA,NA,NA,NA,NA
"C556",234.735,220.0732,"C10H12N4S",10,12,4,0,0,1,"10:4:0",1.2,0,0.4,-1.2,0.2,7,7,"9-cyclopentyl-3H-purine-6-thione_1","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purinethiones","https://pubchem.ncbi.nlm.nih.gov/compound/95124"
"C557",235.141,322.141,"C12H22N2O8",12,22,2,8,0,0,"12:2:0",1.83333333333333,0.666666666666667,0.166666666666667,-0.5,0,3,-5,"Avenic acid A_1",NA,NA,NA,NA,NA,NA
"C558",235.7065,394.1257,"C15H18N6O7",15,18,6,7,0,0,"15:6:0",1.2,0.466666666666667,0.4,-0.266666666666667,0.933333333333333,10,3,"cyclic N(6)-threonylcarbamoyladenosine_3","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/66577129"
"C559",232.7365,380.1455,"C14H24N2O10",14,24,2,10,0,0,"14:2:0",1.71428571428571,0.714285714285714,0.142857142857143,-0.285714285714286,0.142857142857143,4,-6,"ethylene glycol bis(2-aminoethyl)tetraacetic acid_2","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","Tetracarboxylic acids and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/6207"
"C560",232.36,310.141,"C11H22N2O8",11,22,2,8,0,0,"11:2:0",2,0.727272727272727,0.181818181818182,-0.545454545454545,0,2,-6,"mannopine_3","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids","https://pubchem.ncbi.nlm.nih.gov/compound/121864"
"C561",232.4795,282.11,"C10H14N6O4",10,14,6,4,0,0,"10:6:0",1.4,0.4,0.6,-0.6,1.2,7,3,"2-Aminoadenosine_3","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/72200"
"C562",233.081,284.125,"C14H20O6",14,20,0,6,0,0,"14:0:0",1.42857142857143,0.428571428571429,0,-0.571428571428571,-0.571428571428571,5,-1,"2-Phenylethyl beta-D-glucopyranoside",NA,NA,NA,NA,NA,NA
"C563",232.394,298.1405,"C14H22N2O3S",14,22,2,3,0,1,"14:2:0",1.57142857142857,0.214285714285714,0.142857142857143,-1.14285714285714,-0.571428571428571,5,2,"piprozolin_3",NA,NA,NA,NA,NA,NA
"C564",237.858,176.119,"C12H16O",12,16,0,1,0,0,"12:0:0",1.33333333333333,0.0833333333333333,0,-1.16666666666667,-1.16666666666667,5,4,"3-(4-Isopropylphenyl)propanal","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Aromatic monoterpenoids","https://pubchem.ncbi.nlm.nih.gov/compound/62654"
"C565",237.629,98.0355,"C5H6O2",5,6,0,2,0,0,"5:0:0",1.2,0.4,0,-0.4,-0.4,3,1,"2-Furanmethanol","Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds",NA,"Heteroaromatic compounds","https://pubchem.ncbi.nlm.nih.gov/compound/7361"
"C566",236.5475,280.0942,"C10H12N6O4",10,12,6,4,0,0,"10:6:0",1.2,0.4,0.6,-0.4,1.4,8,4,"adenosine 5'-carboxamide_2","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/25244925"
"C567",237.323,168.1137,"C10H16O2",10,16,0,2,0,0,"10:0:0",1.6,0.2,0,-1.2,-1.2,3,1,"Geranic acid","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids","https://pubchem.ncbi.nlm.nih.gov/compound/9989"
"C568",236.6325,146.0944,"C7H14O3",7,14,0,3,0,0,"7:0:0",2,0.428571428571429,0,-1.14285714285714,-1.14285714285714,1,-2,"Butyl lactate",NA,NA,NA,NA,NA,NA
"C569",237.497,242.1144,"C11H18N2O2S",11,18,2,2,0,1,"11:2:0",1.63636363636364,0.181818181818182,0.181818181818182,-1.27272727272727,-0.545454545454546,4,2,"Thiopental_2","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiobarbituric acid derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/1244"
"C570",237.6325,387.0898,"C18H18N3O3PS",18,18,3,3,1,1,"18:3:1",1,0.166666666666667,0.166666666666667,-0.666666666666667,-0.333333333333333,11.5,8.5,"Tris(4-aminophenyl) thiophosphate","Organic compounds","Organic acids and derivatives","Organic thiophosphoric acids and derivatives","Thiophosphoric acid esters","Phenyl thiophosphates","https://pubchem.ncbi.nlm.nih.gov/compound/104278"
"C571",241.1535,230.1288,"C10H18N2O4",10,18,2,4,0,0,"10:2:0",1.8,0.4,0.2,-1,-0.4,3,-1,"Valyl-Hydroxyproline",NA,NA,NA,NA,NA,NA
"C572",239.0915,164.1192,"C11H16O",11,16,0,1,0,0,"11:0:0",1.45454545454545,0.0909090909090909,0,-1.27272727272727,-1.27272727272727,4,3,"trans-Jasmone_2","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclic ketones","https://pubchem.ncbi.nlm.nih.gov/compound/1549019"
"C573",239.265,386.1559,"C18H26O9",18,26,0,9,0,0,"18:0:0",1.44444444444444,0.5,0,-0.444444444444444,-0.444444444444445,6,-3,"Macrosphelide K_2",NA,NA,NA,NA,NA,NA
"C574",238.227,338.1351,"C16H22N2O4S",16,22,2,4,0,1,"16:2:0",1.375,0.25,0.125,-0.875,-0.375,7,3,"6,7-diethoxy-3-(3-methoxypropyl)-2-sulfanylidene-1H-quinazolin-4-one","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinazolines","https://pubchem.ncbi.nlm.nih.gov/compound/3242750"
"C575",239.8935,244.094,"C10H16N2O3S",10,16,2,3,0,1,"10:2:0",1.6,0.3,0.2,-1,-0.2,4,1,"Biotin_4","Organic compounds","Organoheterocyclic compounds","Biotin and derivatives",NA,"Biotin and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/171548"
"C576",239.138,236.0676,"C10H12N4OS",10,12,4,1,0,1,"10:4:0",1.2,0.1,0.4,-1,0.4,7,6,"thioacetazone","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Acetanilides","https://pubchem.ncbi.nlm.nih.gov/compound/7692"
"C577",238.045,250.1203,"C11H22O4S",11,22,0,4,0,1,"11:0:0",2,0.363636363636364,0,-1.27272727272727,-1.09090909090909,1,-3,"(3Z)-9-methyldec-3-en-1-yl sulfate","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","https://pubchem.ncbi.nlm.nih.gov/compound/24796647"
"C578",239.464,394.1616,"C20H26O8",20,26,0,8,0,0,"20:0:0",1.3,0.4,0,-0.5,-0.5,8,0,"Gibberellin A28;GA28_2",NA,NA,NA,NA,NA,NA
"C579",240.2905,284.0864,"C12H16N2O4S",12,16,2,4,0,1,"12:2:0",1.33333333333333,0.333333333333333,0.166666666666667,-0.666666666666667,0,6,2,"Tyrosyl-Cysteine_2",NA,NA,NA,NA,NA,NA
"C580",239.9255,592.1713,"C21H36O19",21,36,0,19,0,0,"21:0:0",1.71428571428571,0.904761904761905,0,0.0952380952380952,0.0952380952380953,4,-15,"alpha-KDN-(2->3)-beta-D-Galp-(1->4)-D-Glcp","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides","https://pubchem.ncbi.nlm.nih.gov/compound/70680303"
"C581",239.975,142.0624,"C7H10O3",7,10,0,3,0,0,"7:0:0",1.42857142857143,0.428571428571429,0,-0.571428571428571,-0.571428571428571,3,0,"Homofureanol_1",NA,NA,NA,NA,NA,NA
"C582",240.0715,370.1263,"C17H18N6O2S",17,18,6,2,0,1,"17:6:0",1.05882352941176,0.117647058823529,0.352941176470588,-0.823529411764706,0.352941176470588,12,10,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_4",NA,NA,NA,NA,NA,NA
"C583",240.8465,426.1515,"C15H26N2O12",15,26,2,12,0,0,"15:2:0",1.73333333333333,0.8,0.133333333333333,-0.133333333333333,0.266666666666667,4,-8,"Chitobiose_5",NA,NA,NA,NA,NA,NA
"C584",245.319,312.1584,"C16H24O6",16,24,0,6,0,0,"16:0:0",1.5,0.375,0,-0.75,-0.75,5,-1,"Thymol glucoside;Thymol-beta-D-glucoside_1",NA,NA,NA,NA,NA,NA
"C585",246.687,176.0827,"C11H12O2",11,12,0,2,0,0,"11:0:0",1.09090909090909,0.181818181818182,0,-0.727272727272727,-0.727272727272728,6,4,"2,2-dimethyl-2H-chromen-5-ol","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","2,2-dimethyl-1-benzopyrans","https://pubchem.ncbi.nlm.nih.gov/compound/14792433"
"C586",246.9685,248.1403,"C15H20O3",15,20,0,3,0,0,"15:0:0",1.33333333333333,0.2,0,-0.933333333333333,-0.933333333333334,6,3,"Abscisic acid aldehyde_2",NA,NA,NA,NA,NA,NA
"C587",246.2275,262.1191,"C10H18N2O6",10,18,2,6,0,0,"10:2:0",1.8,0.6,0.2,-0.6,0,3,-3,"Nopalinic acid_2",NA,NA,NA,NA,NA,NA
"C588",242.052,356.146,"C16H24N2O5S",16,24,2,5,0,1,"16:2:0",1.5,0.3125,0.125,-0.875,-0.375,6,1,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_5",NA,NA,NA,NA,NA,NA
"C589",242.4695,270.1098,"C12H18N2O3S",12,18,2,3,0,1,"12:2:0",1.5,0.25,0.166666666666667,-1,-0.333333333333333,5,2,"Tolbutamide_4","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","https://pubchem.ncbi.nlm.nih.gov/compound/5505"
"C590",242.043,342.1295,"C16H22O8",16,22,0,8,0,0,"16:0:0",1.375,0.5,0,-0.375,-0.375,6,-2,"3,4,5-trihydroxy-6-[3-(4-methoxyphenyl)propoxy]oxane-2-carboxylic acid",NA,NA,NA,NA,NA,NA
"C591",242.194,272.125,"C12H20N2O3S",12,20,2,3,0,1,"12:2:0",1.66666666666667,0.25,0.166666666666667,-1.16666666666667,-0.5,4,1,"Sotalol_2","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides","https://pubchem.ncbi.nlm.nih.gov/compound/5253"
"C592",243.3245,362.1348,"C12H27O10P",12,27,0,10,1,0,"12:0:1",2.25,0.833333333333333,0,-0.583333333333333,-1,-0.5,-10.5,"hexaethylene glycol monophosphate_1","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Polyethylene glycols","https://pubchem.ncbi.nlm.nih.gov/compound/445749"
"C593",244.3755,280.0943,"C10H12N6O4",10,12,6,4,0,0,"10:6:0",1.2,0.4,0.6,-0.4,1.4,8,4,"adenosine 5'-carboxamide_3","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","https://pubchem.ncbi.nlm.nih.gov/compound/25244925"
"C594",243.7685,164.0829,"C10H12O2",10,12,0,2,0,0,"10:0:0",1.2,0.2,0,-0.8,-0.8,5,3,"Eugenol_1","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols","https://pubchem.ncbi.nlm.nih.gov/compound/3314"
"C595",243.401,340.1485,"C12H24N2O9",12,24,2,9,0,0,"12:2:0",2,0.75,0.166666666666667,-0.5,0,2,-7,"3,3'-Neotrehalosadiamine;BMY 28251_6",NA,NA,NA,NA,NA,NA
"C596",244.0105,268.1305,"C10H16N6O3",10,16,6,3,0,0,"10:6:0",1.6,0.3,0.6,-1,0.8,6,3,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One_2","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines","https://pubchem.ncbi.nlm.nih.gov/compound/445732"
"C597",242.883,310.1044,"C12H22O7S",12,22,0,7,0,1,"12:0:0",1.83333333333333,0.583333333333333,0,-0.666666666666667,-0.5,2,-5,"1,2-diisobutoxycarbonylethanesulfonic acid_3",NA,NA,NA,NA,NA,NA
"C598",244.1835,176.1193,"C12H16O",12,16,0,1,0,0,"12:0:0",1.33333333333333,0.0833333333333333,0,-1.16666666666667,-1.16666666666667,5,4,"11,12,13-Trinor-6,9-eremophiladien-8-one",NA,NA,NA,NA,NA,NA
"C599",244.016,298.1404,"C14H22N2O3S",14,22,2,3,0,1,"14:2:0",1.57142857142857,0.214285714285714,0.142857142857143,-1.14285714285714,-0.571428571428571,5,2,"piprozolin_4",NA,NA,NA,NA,NA,NA
"C600",245.1,344.1112,"C12H24O9S",12,24,0,9,0,1,"12:0:0",2,0.75,0,-0.5,-0.333333333333333,1,-8,"Polyhydroxylated cyclic sulfoxide_2",NA,NA,NA,NA,NA,NA
"C601",245.0915,428.1313,"C15H29N2O8PS",15,29,2,8,1,1,"15:2:1",1.93333333333333,0.533333333333333,0.133333333333333,-0.866666666666667,-0.666666666666667,2.5,-5.5,"S-butyryl-4'-phosphopantetheine(2-)",NA,NA,NA,NA,NA,NA
"C602",244.6495,396.1411,"C19H20N6O2S",19,20,6,2,0,1,"19:6:0",1.05263157894737,0.105263157894737,0.315789473684211,-0.842105263157895,0.210526315789474,13,11,"N-(4-acetamidophenyl)-2-[[1-(4-ethylphenyl)-5-tetrazolyl]thio]acetamide_7","Organic compounds","Organoheterocyclic compounds","Azoles","Tetrazoles","Phenyltetrazoles and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/1078044"
"C603",244.721,382.1617,"C14H26N2O10",14,26,2,10,0,0,"14:2:0",1.85714285714286,0.714285714285714,0.142857142857143,-0.428571428571429,0,3,-7,"beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine_1","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars","https://pubchem.ncbi.nlm.nih.gov/compound/10156719"
"C604",245.6175,414.1512,"C19H26O10",19,26,0,10,0,0,"19:0:0",1.36842105263158,0.526315789473684,0,-0.315789473684211,-0.315789473684211,7,-3,"Ptelatoside A",NA,NA,NA,NA,NA,NA
"C605",243.135,260.14,"C11H20N2O5",11,20,2,5,0,0,"11:2:0",1.81818181818182,0.454545454545455,0.181818181818182,-0.909090909090909,-0.363636363636363,3,-2,"gamma-Glutamylisoleucine_1",NA,NA,NA,NA,NA,NA
"C606",243.828,260.1029,"C10H16N2O6",10,16,2,6,0,0,"10:2:0",1.6,0.6,0.2,-0.4,0.2,4,-2,"Oxypinnatanine",NA,NA,NA,NA,NA,NA
"C607",202.001,140.0826,"C8H12O2",8,12,0,2,0,0,"8:0:0",1.5,0.25,0,-1,-1,3,1,"Ethyl sorbate","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters","https://pubchem.ncbi.nlm.nih.gov/compound/1550470"
"C608",204.393,384.1412,"C13H24N2O11",13,24,2,11,0,0,"13:2:0",1.84615384615385,0.846153846153846,0.153846153846154,-0.153846153846154,0.307692307692307,3,-8,"Macrozamin_4",NA,NA,NA,NA,NA,NA
"C609",204.8615,326.0997,"C15H18O8",15,18,0,8,0,0,"15:0:0",1.2,0.533333333333333,0,-0.133333333333333,-0.133333333333334,7,-1,"trans-o-Coumaric acid 2-glucoside",NA,NA,NA,NA,NA,NA
"C610",169.3615,272.0886,"C10H16N4O3S",10,16,4,3,0,1,"10:4:0",1.6,0.3,0.4,-1,0.4,5,2,"1-(4,6-dimethoxy-2-pyrimidinyl)-3-(2-methoxyethyl)thiourea","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Alkyl aryl ethers","https://pubchem.ncbi.nlm.nih.gov/compound/1955478"
"C611",173.1335,286.1041,"C11H18N4O3S",11,18,4,3,0,1,"11:4:0",1.63636363636364,0.272727272727273,0.363636363636364,-1.09090909090909,0.181818181818182,5,2,"Triazamat MII (CL 900056)","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers","https://pubchem.ncbi.nlm.nih.gov/compound/14299898"
"C612",180.6405,314.0998,"C13H18N2O5S",13,18,2,5,0,1,"13:2:0",1.38461538461538,0.384615384615385,0.153846153846154,-0.615384615384615,0,6,1,"Antibiotic 17927A1;Antibiotic 890A1;Antibiotic MM 22380;Antibiotic PS 3A;Epithienamycin A;MM 22380_2",NA,NA,NA,NA,NA,NA
"C613",185.429,258.1088,"C12H18O6",12,18,0,6,0,0,"12:0:0",1.5,0.5,0,-0.5,-0.5,4,-2,"1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone",NA,NA,NA,NA,NA,NA
"C614",183.621,260.0898,"C10H16N2O4S",10,16,2,4,0,1,"10:2:0",1.6,0.4,0.2,-0.8,0,4,0,"biotinate sulfoxide(1-)","Organic compounds","Organoheterocyclic compounds","Biotin and derivatives",NA,"Biotin and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/25244087"
"C615",281.496,190.062,"C10H10N2S",10,10,2,0,0,1,"10:2:0",1,0,0.2,-1,-0.2,7,7,"5-benzyl-1,3-thiazol-2-amine","Organic compounds","Organoheterocyclic compounds","Azoles","Thiazoles","2,5-disubstituted thiazoles","https://pubchem.ncbi.nlm.nih.gov/compound/691952"
"C616",281.8795,246.0882,"C10H10N6O2",10,10,6,2,0,0,"10:6:0",1,0.2,0.6,-0.6,1.2,9,7,"4-(1,3-benzodioxol-5-ylhydrazinylidene)pyrazole-3,5-diamine","Organic compounds","Organoheterocyclic compounds","Benzodioxoles",NA,"Benzodioxoles","https://pubchem.ncbi.nlm.nih.gov/compound/7313803"
"C617",281.9995,164.1193,"C11H16O",11,16,0,1,0,0,"11:0:0",1.45454545454545,0.0909090909090909,0,-1.27272727272727,-1.27272727272727,4,3,"trans-Jasmone_3","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclic ketones","https://pubchem.ncbi.nlm.nih.gov/compound/1549019"
"C618",282.058,380.1458,"C14H24N2O10",14,24,2,10,0,0,"14:2:0",1.71428571428571,0.714285714285714,0.142857142857143,-0.285714285714286,0.142857142857143,4,-6,"ethylene glycol bis(2-aminoethyl)tetraacetic acid_3","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","Tetracarboxylic acids and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/6207"
"C619",281.22,252.1353,"C10H16N6O2",10,16,6,2,0,0,"10:6:0",1.6,0.2,0.6,-1.2,0.6,6,4,"[4-methoxy-6-(1-piperidinyl)-1H-1,3,5-triazin-2-ylidene]-nitrosomethanamine_5","Organic compounds","Organoheterocyclic compounds","Triazines","Aminotriazines","Aminotriazines","https://pubchem.ncbi.nlm.nih.gov/compound/6740108"
"C620",281.016,324.1569,"C12H24N2O8",12,24,2,8,0,0,"12:2:0",2,0.666666666666667,0.166666666666667,-0.666666666666667,-0.166666666666667,2,-6,"2'-deamino-2'-hydroxyparomamine(2+)_1",NA,NA,NA,NA,NA,NA
"C621",287.7095,410.156,"C19H26N2O6S",19,26,2,6,0,1,"19:2:0",1.36842105263158,0.315789473684211,0.105263157894737,-0.736842105263158,-0.315789473684211,8,2,"2-[(1R,3S,4aR,9aS)-1-(hydroxymethyl)-6-(methanesulfonamido)-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-(cyclopropylmethyl)acetamide_3",NA,NA,NA,NA,NA,NA
"C622",288.694,553.1823,"C20H35N5O9S2",20,35,5,9,0,2,"20:5:0",1.75,0.45,0.25,-0.85,0.1,6,-3,"C-MATE",NA,NA,NA,NA,NA,NA
"C623",287.4565,394.161,"C20H26O8",20,26,0,8,0,0,"20:0:0",1.3,0.4,0,-0.5,-0.5,8,0,"Gibberellin A28;GA28_3",NA,NA,NA,NA,NA,NA
"C624",282.6505,334.1404,"C12H22N4O7",12,22,4,7,0,0,"12:4:0",1.83333333333333,0.583333333333333,0.333333333333333,-0.666666666666667,0.333333333333333,4,-3,"2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid_2","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glucuronides","https://pubchem.ncbi.nlm.nih.gov/compound/46936668"
"C625",283.543,304.1297,"C11H20N4O6",11,20,4,6,0,0,"11:4:0",1.81818181818182,0.545454545454545,0.363636363636364,-0.727272727272727,0.363636363636364,4,-2,"Nopaline_2",NA,NA,NA,NA,NA,NA
"C626",283.605,88.0146,"C3H4O3",3,4,0,3,0,0,"3:0:0",1.33333333333333,1,0,0.666666666666667,0.666666666666667,2,-1,"Pyruvic acid_2","Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Alpha-keto acids and derivatives","Alpha-keto acids and derivatives","https://pubchem.ncbi.nlm.nih.gov/compound/1060"
"C627",284.064,344.1434,"C15H24N2O5S",15,24,2,5,0,1,"15:2:0",1.6,0.333333333333333,0.133333333333333,-0.933333333333333,-0.4,5,0,"N-[(2R,3R,6R)-6-(2-aminoethyl)-2-(hydroxymethyl)oxan-3-yl]-3-methoxybenzenesulfonamide_1",NA,NA,NA,NA,NA,NA
