"cmpd","rt","annotation","ann.confidence","median.signal","inferred.M","inferred.formula","inchikey","inchi","pubchem.url","synonyms","inchikey.1","kingdom","superclass","class","subclass","parent","description"
"C545",231.9665,"3-Hydroxymugineic acid_2","2",3543.00969198379,336.1203,"C12H20N2O9","QPIOQLJXMZWNFJ-UHFFFAOYNA-N",NA,NA,"NA","QPIOQLJXMZWNFJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C546",230.336,"Ranitidine_2","2",4195.83280861171,314.1341,"C13H22N4O3S","VMXUWOKSQNHOCA-UKTHLTGXSA-N","InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+","https://pubchem.ncbi.nlm.nih.gov/compound/3001055","NA","VMXUWOKSQNHOCA-UKTHLTGXSA-N","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Aralkylamines","This compound belongs to the class of organic compounds known as aralkylamines. These are alkylamines in which the alkyl group is substituted at one carbon atom by an aromatic hydrocarbyl group."
"C547",230.3855,"2-(6'-Methylthio)hexylmalic acid_3","2",1361.22408660801,264.1009,"C11H20O5S","FEKMFSGDBKSRNR-UHFFFAOYNA-N",NA,NA,"NA","FEKMFSGDBKSRNR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C548",231.381,"Isomugineic acid_2","2",1467.70107747366,320.1167,"C12H20N2O8","GJRGEVKCJPPZIT-UHFFFAOYNA-N",NA,NA,"NA","GJRGEVKCJPPZIT-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C549",231.395,"Biotin_3","2",990.823573253863,244.0939,"C10H16N2O3S","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/171548","NA","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","Organic compounds","Organoheterocyclic compounds","Biotin and derivatives",NA,"Biotin and derivatives","This compound belongs to the class of organic compounds known as biotin and derivatives. These are organic compounds containing a ureido (tetrahydroimidizalone) ring fused with a tetrahydrothiophene ring."
"C550",231.1285,"Thiamylal_5","2",3595.83351931703,254.1147,"C12H18N2O2S","XLOMZPUITCYLMJ-UHFFFAOYSA-N","InChI=1S/C12H18N2O2S/c1-4-6-8(3)12(7-5-2)9(15)13-11(17)14-10(12)16/h5,8H,2,4,6-7H2,1,3H3,(H2,13,14,15,16,17)","https://pubchem.ncbi.nlm.nih.gov/compound/5436","NA","XLOMZPUITCYLMJ-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiobarbituric acid derivatives","This compound belongs to the class of organic compounds known as thiobarbituric acid derivatives. These are organic compounds containing a 2-thioxodihydropyrimidine-4,6(1H,5H)-dione skeleton."
"C551",231.5215,"Fortimicin FU-10","2",6301.60002291004,340.1515,"C12H24N2O9","RQEREARTKFHKFJ-DOPHCPJZSA-N","InChI=1S/C12H24N2O9/c13-3-6(17)8(19)9(20)10(21)11(3)23-12-4(14)7(18)5(16)2(1-15)22-12/h2-12,15-21H,1,13-14H2/t2-,3+,4-,5-,6+,7-,8-,9+,10-,11-,12-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/46174014","NA","RQEREARTKFHKFJ-DOPHCPJZSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminocyclitol glycosides","This compound belongs to the class of organic compounds known as aminocyclitol glycosides. These are organic compounds containing an amicocyclitol moiety glycosidically linked to a carbohydrate moiety. There are two major classes of aminoglycosides containing a 2-streptamine core. They are called 4,5- and 4,6-disubstituted 2-deoxystreptamines."
"C552",231.215,"6-(Pentylthio)-1H-purine_4","2",592.52133027265,222.0885,"C10H14N4S","UDXMVJZRHSMPEJ-UHFFFAOYSA-N","InChI=1S/C10H14N4S/c1-2-3-4-5-15-10-8-9(12-6-11-8)13-7-14-10/h6-7H,2-5H2,1H3,(H,11,12,13,14)","https://pubchem.ncbi.nlm.nih.gov/compound/79515","NA","UDXMVJZRHSMPEJ-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines","This compound belongs to the class of organic compounds known as 6-thiopurines. These are compounds containing a purine that carries a thiol group at the 6-position. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring."
"C553",234.7945,"Sotalol_1","2",2642.90157869352,272.1242,"C12H20N2O3S","ZBMZVLHSJCTVON-UHFFFAOYSA-N","InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/5253","NA","ZBMZVLHSJCTVON-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides","This compound belongs to the class of organic compounds known as sulfanilides. These are organic aromatic compounds containing a sulfanilide moiety, with the general structure RS(=O)(=O)NC1=CC=CC=C1."
"C554",234.9955,"Cysteinyl-Phenylalanine","2",2827.70621996622,268.0939,"C12H16N2O3S","XZFYRXDAULDNFX-UHFFFAOYNA-N",NA,NA,"NA","XZFYRXDAULDNFX-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C555",234.466,"Perillic acid","2",141.44383972529,166.0986,"C10H14O2","CDSMSBUVCWHORP-UHFFFAOYNA-N",NA,NA,"NA","CDSMSBUVCWHORP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C556",234.735,"9-cyclopentyl-3H-purine-6-thione_1","2",338.172213258706,220.0732,"C10H12N4S","AMLJKGIHHITBDS-UHFFFAOYSA-N","InChI=1S/C10H12N4S/c15-10-8-9(11-5-12-10)14(6-13-8)7-3-1-2-4-7/h5-7H,1-4H2,(H,11,12,15)","https://pubchem.ncbi.nlm.nih.gov/compound/95124","NA","AMLJKGIHHITBDS-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purinethiones","This compound belongs to the class of organic compounds known as purinethiones. These are purines in which the purine moiety bears a thioketone."
"C557",235.141,"Avenic acid A_1","2",3127.32382235064,322.141,"C12H22N2O8","QUKMQOBHQMWLLR-UHFFFAOYNA-N",NA,NA,"NA","QUKMQOBHQMWLLR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C558",235.7065,"cyclic N(6)-threonylcarbamoyladenosine_3","2",3215.27587107706,394.1257,"C15H18N6O7","NIMLOKNRDJCYPO-DWVDDHQFSA-N","InChI=1S/C15H18N6O7/c1-5(23)7-14(26)28-15(19-7)20-11-8-12(17-3-16-11)21(4-18-8)13-10(25)9(24)6(2-22)27-13/h3-7,9-10,13,22-25H,2H2,1H3,(H,16,17,19,20)/t5-,6-,7+,9-,10-,13-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/66577129","NA","NIMLOKNRDJCYPO-DWVDDHQFSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C559",232.7365,"ethylene glycol bis(2-aminoethyl)tetraacetic acid_2","2",4243.88639410677,380.1455,"C14H24N2O10","DEFVIWRASFVYLL-UHFFFAOYSA-N","InChI=1S/C14H24N2O10/c17-11(18)7-15(8-12(19)20)1-3-25-5-6-26-4-2-16(9-13(21)22)10-14(23)24/h1-10H2,(H,17,18)(H,19,20)(H,21,22)(H,23,24)","https://pubchem.ncbi.nlm.nih.gov/compound/6207","NA","DEFVIWRASFVYLL-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","Tetracarboxylic acids and derivatives","This compound belongs to the class of organic compounds known as tetracarboxylic acids and derivatives. These are carboxylic acids containing exactly four carboxyl groups."
"C560",232.36,"mannopine_3","2",4966.88294256055,310.141,"C11H22N2O8","VPRLICVDSGMIKO-SZWOQXJISA-N","InChI=1S/C11H22N2O8/c12-8(17)2-1-5(11(20)21)13-3-6(15)9(18)10(19)7(16)4-14/h5-7,9-10,13-16,18-19H,1-4H2,(H2,12,17)(H,20,21)/t5-,6+,7+,9+,10+/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/121864","NA","VPRLICVDSGMIKO-SZWOQXJISA-N","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids","This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom."
"C561",232.4795,"2-Aminoadenosine_3","2",6132.85692445365,282.11,"C10H14N6O4","ZDTFMPXQUSBYRL-UUOKFMHZSA-N","InChI=1S/C10H14N6O4/c11-7-4-8(15-10(12)14-7)16(2-13-4)9-6(19)5(18)3(1-17)20-9/h2-3,5-6,9,17-19H,1H2,(H4,11,12,14,15)/t3-,5-,6-,9-/m1/s1","https://pubchem.ncbi.nlm.nih.gov/compound/72200","NA","ZDTFMPXQUSBYRL-UUOKFMHZSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C562",233.081,"2-Phenylethyl beta-D-glucopyranoside","2",3880.31014250429,284.125,"C14H20O6","MLRIJUWUQTVDQE-UHFFFAOYNA-N",NA,NA,"NA","MLRIJUWUQTVDQE-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C563",232.394,"piprozolin_3","2",4416.80389512382,298.1405,"C14H22N2O3S","UAXYBJSAPFTPNB-UHFFFAOYNA-N",NA,NA,"NA","UAXYBJSAPFTPNB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C564",237.858,"3-(4-Isopropylphenyl)propanal","2",103.214716028324,176.119,"C12H16O","RLEFOSDUWZYGOS-UHFFFAOYSA-N","InChI=1S/C12H16O/c1-10(2)12-7-5-11(6-8-12)4-3-9-13/h5-10H,3-4H2,1-2H3","https://pubchem.ncbi.nlm.nih.gov/compound/62654","NA","RLEFOSDUWZYGOS-UHFFFAOYSA-N","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Aromatic monoterpenoids","This compound belongs to the class of organic compounds known as aromatic monoterpenoids. These are monoterpenoids containing at least one aromatic ring."
"C565",237.629,"2-Furanmethanol","2",210.365936427298,98.0355,"C5H6O2","XPFVYQJUAUNWIW-UHFFFAOYSA-N","InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2","https://pubchem.ncbi.nlm.nih.gov/compound/7361","NA","XPFVYQJUAUNWIW-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds",NA,"Heteroaromatic compounds","This compound belongs to the class of organic compounds known as heteroaromatic compounds. These are compounds containing an aromatic ring where a carbon atom is linked to an hetero atom."
"C566",236.5475,"adenosine 5'-carboxamide_2","2",2297.04680194777,280.0942,"C10H12N6O4","BLMHAOGGJQDPLX-TXDDJGQJSA-N","InChI=1S/C10H12N6O4/c11-7-3-9(14-1-13-7)16(2-15-3)10-5(18)4(17)6(20-10)8(12)19/h1-2,4-6,10,17-18H,(H2,12,19)(H2,11,13,14)/t4-,5+,6-,10?/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/25244925","NA","BLMHAOGGJQDPLX-TXDDJGQJSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C567",237.323,"Geranic acid","2",219.67045004323,168.1137,"C10H16O2","ZHYZQXUYZJNEHD-UHFFFAOYSA-N","InChI=1S/C10H16O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5,7H,4,6H2,1-3H3,(H,11,12)","https://pubchem.ncbi.nlm.nih.gov/compound/9989","NA","ZHYZQXUYZJNEHD-UHFFFAOYSA-N","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Acyclic monoterpenoids","This compound belongs to the class of organic compounds known as acyclic monoterpenoids. These are monoterpenes that do not contain a cycle."
"C568",236.6325,"Butyl lactate","2",771.243711320351,146.0944,"C7H14O3","MRABAEUHTLLEML-UHFFFAOYNA-N",NA,NA,"NA","MRABAEUHTLLEML-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C569",237.497,"Thiopental_2","2",1506.73926332987,242.1144,"C11H18N2O2S","IUJDSEJGGMCXSG-UHFFFAOYSA-N","InChI=1S/C11H18N2O2S/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)","https://pubchem.ncbi.nlm.nih.gov/compound/1244","NA","IUJDSEJGGMCXSG-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiobarbituric acid derivatives","This compound belongs to the class of organic compounds known as thiobarbituric acid derivatives. These are organic compounds containing a 2-thioxodihydropyrimidine-4,6(1H,5H)-dione skeleton."
"C570",237.6325,"Tris(4-aminophenyl) thiophosphate","2",539.08380830942,387.0898,"C18H18N3O3PS","MBUAAMOJATXYKR-UHFFFAOYSA-N","InChI=1S/C18H18N3O3PS/c19-13-1-7-16(8-2-13)22-25(26,23-17-9-3-14(20)4-10-17)24-18-11-5-15(21)6-12-18/h1-12H,19-21H2","https://pubchem.ncbi.nlm.nih.gov/compound/104278","NA","MBUAAMOJATXYKR-UHFFFAOYSA-N","Organic compounds","Organic acids and derivatives","Organic thiophosphoric acids and derivatives","Thiophosphoric acid esters","Phenyl thiophosphates","This compound belongs to the class of organic compounds known as phenyl thiophosphates. These are organothiophosphorus compounds that contain a thiophosphoric acid O-esterified with a phenyl group."
"C571",241.1535,"Valyl-Hydroxyproline","2",293.990558443622,230.1288,"C10H18N2O4","IMOKOCYUKGZZAG-UHFFFAOYNA-N",NA,NA,"NA","IMOKOCYUKGZZAG-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C572",239.0915,"trans-Jasmone_2","2",105.733526966641,164.1192,"C11H16O","XMLSXPIVAXONDL-SNAWJCMRSA-N","InChI=1S/C11H16O/c1-3-4-5-6-10-9(2)7-8-11(10)12/h4-5H,3,6-8H2,1-2H3/b5-4+","https://pubchem.ncbi.nlm.nih.gov/compound/1549019","NA","XMLSXPIVAXONDL-SNAWJCMRSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Cyclic ketones","This compound belongs to the class of organic compounds known as cyclic ketones. These are organic compounds containing a ketone that is conjugated to a cyclic moiety."
"C573",239.265,"Macrosphelide K_2","2",3403.60846281425,386.1559,"C18H26O9","FRSLVQFQUNGOIH-BZJIDNEQNA-N",NA,NA,"NA","FRSLVQFQUNGOIH-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C574",238.227,"6,7-diethoxy-3-(3-methoxypropyl)-2-sulfanylidene-1H-quinazolin-4-one","2",5779.32438696139,338.1351,"C16H22N2O4S","WBCIAHUEWFZRQG-UHFFFAOYSA-N","InChI=1S/C16H22N2O4S/c1-4-21-13-9-11-12(10-14(13)22-5-2)17-16(23)18(15(11)19)7-6-8-20-3/h9-10H,4-8H2,1-3H3,(H,17,23)","https://pubchem.ncbi.nlm.nih.gov/compound/3242750","NA","WBCIAHUEWFZRQG-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinazolines","This compound belongs to the class of organic compounds known as quinazolines. These are compounds containing a quinazoline moiety, which is made up of two fused six-member aromatic rings, a benzene ring and a pyrimidine ring."
"C575",239.8935,"Biotin_4","2",727.126549545166,244.094,"C10H16N2O3S","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/171548","NA","YBJHBAHKTGYVGT-ZKWXMUAHSA-N","Organic compounds","Organoheterocyclic compounds","Biotin and derivatives",NA,"Biotin and derivatives","This compound belongs to the class of organic compounds known as biotin and derivatives. These are organic compounds containing a ureido (tetrahydroimidizalone) ring fused with a tetrahydrothiophene ring."
"C576",239.138,"thioacetazone","2",657.836295071519,236.0676,"C10H12N4OS","SRVJKTDHMYAMHA-UHFFFAOYSA-N","InChI=1S/C10H12N4OS/c1-7(15)13-9-4-2-8(3-5-9)6-12-14-10(11)16/h2-6H,1H3,(H,13,15)(H3,11,14,16)","https://pubchem.ncbi.nlm.nih.gov/compound/7692","NA","SRVJKTDHMYAMHA-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Acetanilides","This compound belongs to the class of organic compounds known as acetanilides. These are organic compounds containing an acetamide group conjugated to a phenyl group."
"C577",238.045,"(3Z)-9-methyldec-3-en-1-yl sulfate","2",1071.41981376671,250.1203,"C11H22O4S","KFSZKAMIIWDKKZ-XQRVVYSFSA-M","InChI=1S/C11H22O4S/c1-11(2)9-7-5-3-4-6-8-10-15-16(12,13)14/h4,6,11H,3,5,7-10H2,1-2H3,(H,12,13,14)/p-1/b6-4-","https://pubchem.ncbi.nlm.nih.gov/compound/24796647","NA","KFSZKAMIIWDKKZ-XQRVVYSFSA-M","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters","Sulfuric acid monoesters","This compound belongs to the class of organic compounds known as sulfuric acid monoesters. These are organic compounds containing the sulfuric acid monoester functional group, with the generic structure ROS(O)(=O)=O, (R=organyl group)."
"C578",239.464,"Gibberellin A28;GA28_2","2",3449.00471836032,394.1616,"C20H26O8","YPZCOEDTKIYBEB-SODGMTBTNA-N",NA,NA,"NA","YPZCOEDTKIYBEB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C579",240.2905,"Tyrosyl-Cysteine_2","2",3877.00547942486,284.0864,"C12H16N2O4S","WJKJJGXZRHDNTN-UHFFFAOYNA-N",NA,NA,"NA","WJKJJGXZRHDNTN-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C580",239.9255,"alpha-KDN-(2->3)-beta-D-Galp-(1->4)-D-Glcp","2",810.161362423126,592.1713,"C21H36O19","DMRPWEVBRFPALU-VOVGBJGJSA-N","InChI=1S/C21H36O19/c22-2-6(26)10(28)16-9(27)5(25)1-21(39-16,20(34)35)40-17-11(29)7(3-23)37-19(14(17)32)38-15-8(4-24)36-18(33)13(31)12(15)30/h5-19,22-33H,1-4H2,(H,34,35)/t5-,6+,7+,8+,9+,10+,11-,12+,13+,14+,15+,16+,17-,18?,19-,21-/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/70680303","NA","DMRPWEVBRFPALU-VOVGBJGJSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides","This compound belongs to the class of organic compounds known as oligosaccharides. These are carbohydrates made up of 3 to 10 monosaccharide units linked to each other through glycosidic bonds."
"C581",239.975,"Homofureanol_1","2",40.1830611959238,142.0624,"C7H10O3","GWCRPYGYVRXVLI-UHFFFAOYNA-N",NA,NA,"NA","GWCRPYGYVRXVLI-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C582",240.0715,"N-(2-oxolanylmethyl)-2-[[3-(3-pyridinyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]thio]acetamide_4","2",5560.80242317974,370.1263,"C17H18N6O2S","JSQCYWGKEFQZMS-UHFFFAOYNA-N",NA,NA,"NA","JSQCYWGKEFQZMS-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C583",240.8465,"Chitobiose_5","2",3593.00772491593,426.1515,"C15H26N2O12","HSRZMOSQMYFZBL-ZCPMBPKRNA-N",NA,NA,"NA","HSRZMOSQMYFZBL-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C584",245.319,"Thymol glucoside;Thymol-beta-D-glucoside_1","2",7540.21137263365,312.1584,"C16H24O6","GKQGIQVSMCHAFX-XWCHTRRFNA-N",NA,NA,"NA","GKQGIQVSMCHAFX-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C585",246.687,"2,2-dimethyl-2H-chromen-5-ol","2",91.5162633721565,176.0827,"C11H12O2","SHBLUYDDXWADNS-UHFFFAOYSA-N","InChI=1S/C11H12O2/c1-11(2)7-6-8-9(12)4-3-5-10(8)13-11/h3-7,12H,1-2H3","https://pubchem.ncbi.nlm.nih.gov/compound/14792433","NA","SHBLUYDDXWADNS-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","2,2-dimethyl-1-benzopyrans","This compound belongs to the class of organic compounds known as 2,2-dimethyl-1-benzopyrans. These are organic compounds containing a 1-benzopyran moiety that carries two methyl groups at the 2-position."
"C586",246.9685,"Abscisic acid aldehyde_2","2",428.160662427685,248.1403,"C15H20O3","RIKWDZWVHUIUAM-LWSWVGHMNA-N",NA,NA,"NA","RIKWDZWVHUIUAM-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C587",246.2275,"Nopalinic acid_2","2",707.762519687532,262.1191,"C10H18N2O6","UXZAXFPFSQRZOZ-UHFFFAOYNA-N",NA,NA,"NA","UXZAXFPFSQRZOZ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C588",242.052,"2-[(2S,5S,6S)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide_5","2",4612.50827662618,356.146,"C16H24N2O5S","XITZEOXYAYTYOD-FJBXCPOZNA-N",NA,NA,"NA","XITZEOXYAYTYOD-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C589",242.4695,"Tolbutamide_4","2",4628.47167680591,270.1098,"C12H18N2O3S","JLRGJRBPOGGCBT-UHFFFAOYSA-N","InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)","https://pubchem.ncbi.nlm.nih.gov/compound/5505","NA","JLRGJRBPOGGCBT-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring."
"C590",242.043,"3,4,5-trihydroxy-6-[3-(4-methoxyphenyl)propoxy]oxane-2-carboxylic acid","2",5460.50186745822,342.1295,"C16H22O8","PRLNZXBMDQOKQJ-UHFFFAOYNA-N",NA,NA,"NA","PRLNZXBMDQOKQJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C591",242.194,"Sotalol_2","2",1934.86414791471,272.125,"C12H20N2O3S","ZBMZVLHSJCTVON-UHFFFAOYSA-N","InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3","https://pubchem.ncbi.nlm.nih.gov/compound/5253","NA","ZBMZVLHSJCTVON-UHFFFAOYSA-N","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides","This compound belongs to the class of organic compounds known as sulfanilides. These are organic aromatic compounds containing a sulfanilide moiety, with the general structure RS(=O)(=O)NC1=CC=CC=C1."
"C592",243.3245,"hexaethylene glycol monophosphate_1","2",4074.97258838227,362.1348,"C12H27O10P","PTMCGHPIYOSATH-UHFFFAOYSA-N","InChI=1S/C12H27O10P/c13-1-2-17-3-4-18-5-6-19-7-8-20-9-10-21-11-12-22-23(14,15)16/h13H,1-12H2,(H2,14,15,16)","https://pubchem.ncbi.nlm.nih.gov/compound/445749","NA","PTMCGHPIYOSATH-UHFFFAOYSA-N","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Polyethylene glycols","This compound belongs to the class of organic compounds known as polyethylene glycols. These are oligomers or polymers of ethylene oxide, with the general formula (C2H4O)n (with n>=3)."
"C593",244.3755,"adenosine 5'-carboxamide_3","2",3128.74995963597,280.0943,"C10H12N6O4","BLMHAOGGJQDPLX-TXDDJGQJSA-N","InChI=1S/C10H12N6O4/c11-7-3-9(14-1-13-7)16(2-15-3)10-5(18)4(17)6(20-10)8(12)19/h1-2,4-6,10,17-18H,(H2,12,19)(H2,11,13,14)/t4-,5+,6-,10?/m0/s1","https://pubchem.ncbi.nlm.nih.gov/compound/25244925","NA","BLMHAOGGJQDPLX-TXDDJGQJSA-N","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"Purine nucleosides","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety."
"C594",243.7685,"Eugenol_1","2",89.2861819230626,164.0829,"C10H12O2","RRAFCDWBNXTKKO-UHFFFAOYSA-N","InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3","https://pubchem.ncbi.nlm.nih.gov/compound/3314","NA","RRAFCDWBNXTKKO-UHFFFAOYSA-N","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols","This compound belongs to the class of organic compounds known as methoxyphenols. These are compounds containing a methoxy group attached to the benzene ring of a phenol moiety."
"C595",243.401,"3,3'-Neotrehalosadiamine;BMY 28251_6","2",6552.28647492785,340.1485,"C12H24N2O9","ZPEFXARQZVAHGO-OBCHOJLFNA-N",NA,NA,"NA","ZPEFXARQZVAHGO-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C596",244.0105,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One_2","2",2739.73512368817,268.1305,"C10H16N6O3","XYCDSKWPYZSIDU-UHFFFAOYSA-N","InChI=1S/C10H16N6O3/c11-10-14-8-7(9(19)15-10)16(5-13-8)2-1-12-6(3-17)4-18/h5-6,12,17-18H,1-4H2,(H3,11,14,15,19)","https://pubchem.ncbi.nlm.nih.gov/compound/445732","NA","XYCDSKWPYZSIDU-UHFFFAOYSA-N","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines","This compound belongs to the class of organic compounds known as hypoxanthines. These are compounds containing the purine derivative 1H-purin-6(9H)-one. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring."
"C597",242.883,"1,2-diisobutoxycarbonylethanesulfonic acid_3","2",5824.83556618901,310.1044,"C12H22O7S","NNARPPSIYMCXMB-UHFFFAOYNA-N",NA,NA,"NA","NNARPPSIYMCXMB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C598",244.1835,"11,12,13-Trinor-6,9-eremophiladien-8-one","2",96.7609317943238,176.1193,"C12H16O","TXJKMYPSRQWMOL-UHFFFAOYNA-N",NA,NA,"NA","TXJKMYPSRQWMOL-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
"C599",244.016,"piprozolin_4","2",5424.69051760517,298.1404,"C14H22N2O3S","UAXYBJSAPFTPNB-UHFFFAOYNA-N",NA,NA,"NA","UAXYBJSAPFTPNB-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA
