cmpd,rt,annotation,ann.confidence,median.signal,inferred.M,inferred.formula,inchikey,inchi,hmdb.url,lm.url,pubchem.url,chebi.url,synonyms,inchikey.1,kingdom,superclass,class,subclass,parent,description
C2364,427.50075,UNPD13474,2,1008.757643,864.4107,C41H68O17S,BZMNYUKJRNMJQA-QRFHXRPGNA-N,NA,NA,NA,NA,NA,UNPD=UNPD13474,BZMNYUKJRNMJQA-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2365,428.93825,Gibberellin A12,2,1777.372307,332.2011,C20H28O4,UJFQJDAESQJXTG-NIILLQMYNA-N,NA,NA,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPR0104170014,https://pubchem.ncbi.nlm.nih.gov/compound/25244528#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30088,KNApSAcK=C00000012 __ ChEBI=CHEBI:30088;CHEBI:58627 __ FooDB=FDB001605;FDB013659 __ LipidMAPS=LMPR0104170014 __ PubChem=25244528;443450 __ PlantCyc=CPD1F-95 __ UNPD=UNPD188201,UJFQJDAESQJXTG-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2366,425.22875,Isoamoritin,2,2129.236161,506.2645,C31H38O6,YSSBXXIEFDCVDX-CYLJNIGPNA-N,NA,NA,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPK12140384,NA,NA,KNApSAcK=C00014178 __ LipidMAPS=LMPK12140384 __ UNPD=UNPD47983,YSSBXXIEFDCVDX-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2367,429.06325,Prupaside,2,2117.518301,552.2254,C27H36O12,GLRJVMYTCIKGGK-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0038951,NA,NA,NA,HMDB=HMDB0038951 __ FooDB=FDB018431 __ UNPD=UNPD82443,GLRJVMYTCIKGGK-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2368,428.1285,UNPD81967,2,1497.996891,690.3129,C33H54O11S2,GGTAWIYDMUIMCA-QVIYFPHDNA-L,NA,NA,NA,NA,NA,UNPD=UNPD81967,GGTAWIYDMUIMCA-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2369,428.36875,UNPD195954,2,1924.821456,824.3501,C40H56O18,NLKLNCLRGZZEFY-FJTGIAMINA-N,NA,NA,NA,NA,NA,UNPD=UNPD195954,NLKLNCLRGZZEFY-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2370,427.80375,UNPD26652,2,2224.233137,622.3492,C38H46N4O4,DXCCLEWZDCMPKB-SMLBUFRWNA-N,NA,NA,NA,NA,NA,UNPD=UNPD26652,DXCCLEWZDCMPKB-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2371,427.32075,UNPD112131,2,766.9996971,617.3064,C30H43N5O9,MQRNLZPXGHSBCH-NRVRREDWNA-N,NA,NA,NA,NA,NA,UNPD=UNPD112131,MQRNLZPXGHSBCH-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2372,427.755,"5-acetamido-3,5-dideoxy-L-arabino-hept-2-ulopyranosonic acid__3",2,3467.612353,249.0868,C9H15NO7,VOYHUNWCVBZVQT-CRNPJGAVSA-N,"InChI=1S/C9H15NO7/c1-4(12)10-7-5(13)2-9(16,8(14)15)17-6(7)3-11/h5-7,11,13,16H,2-3H2,1H3,(H,10,12)(H,14,15)/t5-,6-,7+,9?/m0/s1",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62322,"5-acetamido-3,5-dideoxy-L-arabino-hept-2-ulopyranosonic acid__3 __ (4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-(hydroxymethyl)oxane-2-carboxylic acid __ (4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-(hydroxymethyl)-2-oxanecarboxylic acid __ (4S,5R,6R)-5-acetamido-6-(hydroxymethyl)-2,4-bis(oxidanyl)oxane-2-carboxylic acid __ (4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-methylol-tetrahydropyran-2-carboxylic acid __ (4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-(hydroxymethyl)tetrahydropyran-2-carboxylic acid",VOYHUNWCVBZVQT-CRNPJGAVSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,C-glycosyl compounds,This compound belongs to the class of organic compounds known as c-glycosyl compounds. These are glycoside in which a sugar group is bonded through one carbon to another group via a C-glycosidic bond.
C2373,486.991,(2S)-8-[(tert-butoxycarbonyl)amino]-2-(1H-indol-3-yl)octanoic acid,2,899.3360417,374.2203,C21H30N2O4,AWVCKFLATUTBCX-XISACWJONA-N,NA,NA,NA,NA,NA,DrugBank=DB06982,AWVCKFLATUTBCX-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2374,489.3045,Desglucocoroloside,2,1428.355059,504.3073,C29H44O7,NQOMDNMTNVQXRR-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0033709,NA,NA,NA,HMDB=HMDB0033709 __ FooDB=FDB011825 __ UNPD=UNPD110351;UNPD139045;UNPD171465;UNPD55949,NQOMDNMTNVQXRR-UHFFFAOYNA-N,NA,NA,NA,NA,NA,NA
C2375,490.0665,C47H78O22S,3,891.4543289,1026.4729,C47H78O22S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2376,487.7305,UNPD113073,2,992.7047504,816.4143,C37H56N10O11,MLZMJWLLJUPTQR-IJASLYOGNA-N,NA,NA,NA,NA,NA,UNPD=UNPD113073,MLZMJWLLJUPTQR-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2377,485.2095,"(S)-10,16-Dihydroxyhexadecanoic acid",2,1127.068354,288.2288,C16H32O4,VJZBXAQGWLMYMS-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0037798,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMFA01050341,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:692,HMDB=HMDB0037798 __ KNApSAcK=C00007440 __ ChEBI=CHEBI:692 __ FooDB=FDB016942;FDB021203 __ LipidMAPS=LMFA01050341 __ PubChem=25201518;441449 __ PlantCyc=9--OR-1016-DIHYDROXYPALMITATE __ UNPD=UNPD83246,VJZBXAQGWLMYMS-UHFFFAOYNA-N,NA,NA,NA,NA,NA,NA
C2378,484.894,Pregnanediol-3-glucuronide,2,1487.975176,496.2983,C27H44O8,ZFFFJLDTCLJDHL-JQYCEVDMSA-N,"InChI=1S/C27H44O8/c1-13(28)17-6-7-18-16-5-4-14-12-15(8-10-26(14,2)19(16)9-11-27(17,18)3)34-25-22(31)20(29)21(30)23(35-25)24(32)33/h13-23,25,28-31H,4-12H2,1-3H3,(H,32,33)/t13-,14+,15+,16-,17+,18-,19-,20-,21-,22+,23-,25+,26-,27+/m0/s1",http://www.hmdb.ca/metabolites/HMDB0010318,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMST05010038,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:88765,"Pregnanediol-3-glucuronide __ (2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[[(3R,5R,8R,9S,10S,13S,14S,17S)-17-[(1S)-1-hydroxyethyl]-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-2-oxanecarboxylic acid __ (2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[[(3R,5R,8R,9S,10S,13S,14S,17S)-17-[(1S)-1-hydroxyethyl]-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid __ (2S,3S,4S,5R,6R)-6-[[(3R,5R,8R,9S,10S,13S,14S,17S)-10,13-dimethyl-17-[(1S)-1-oxidanylethyl]-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-tris(oxidanyl)oxane-2-carboxylic acid __ (2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[[(3R,5R,8R,9S,10S,13S,14S,17S)-17-[(1S)-1-hydroxyethyl]-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]tetrahydropyran-2-carboxylic acid",ZFFFJLDTCLJDHL-JQYCEVDMSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Steroid glucuronide conjugates,This compound belongs to the class of organic compounds known as steroid glucuronide conjugates. These are sterol lipids containing a glucuronide moiety linked to the steroid skeleton.
C2379,484.69125,UNPD32863,2,2815.878566,516.303,C32H40N2O4,DBZXOXDMOFFTPG-IPKNDDPENA-N,NA,NA,NA,NA,NA,UNPD=UNPD32863,DBZXOXDMOFFTPG-IPKNDDPENA-N,NA,NA,NA,NA,NA,NA
C2380,484.41375,L-Urobilin,2,1851.169702,594.3371,C33H46N4O6,TYOWQSLRVAUSMI-WKULSOCRNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0004159,NA,https://pubchem.ncbi.nlm.nih.gov/compound/5280818#section=Top,NA,HMDB=HMDB0004159 __ FooDB=FDB023324 __ BMDB=BMDB04159 __ Urine=HMDB0004159 __ Feces=HMDB0004159 __ PubChem=5280818 __ UNPD=UNPD13500;UNPD21070,TYOWQSLRVAUSMI-WKULSOCRNA-N,NA,NA,NA,NA,NA,NA
C2381,483.918,Austalide L,2,1208.002131,428.2239,C25H32O6,XTSSAALSNSPVIH-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0030158,NA,NA,NA,HMDB=HMDB0030158 __ FooDB=FDB001967 __ UNPD=UNPD153114,XTSSAALSNSPVIH-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2382,482.903,"20, 22-Dihydrodigoxigenin",2,1595.804386,392.2625,C23H36O5,MWPLZPAHTHIKQB-WFGOHPFPSA-N,"InChI=1S/C23H36O5/c1-21-7-5-15(24)10-14(21)3-4-17-18(21)11-19(25)22(2)16(6-8-23(17,22)27)13-9-20(26)28-12-13/h13-19,24-25,27H,3-12H2,1-2H3/t13-,14+,15-,16+,17?,18-,19+,21-,22-,23-/m0/s1",http://www.hmdb.ca/metabolites/HMDB0060730,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71004,"20, 22-Dihydrodigoxigenin __ 20, 22-Dihydrodigoxigenin__2 __ (4R)-4-[(3S,5R,9S,10S,12R,13S,14S,17R)-3,12,14-trihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]oxolan-2-one",MWPLZPAHTHIKQB-WFGOHPFPSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,Cardenolides and derivatives,This compound belongs to the class of organic compounds known as cardenolides and derivatives. These are steroid lactones containing a furan-2-one moiety linked to the C17 atom of a cyclopenta[a]phenanthrene derivative.
C2383,481.7205,UNPD202089,2,1768.228752,700.3786,C46H52O6,GASIUWKYLNTQBN-MWIHLQPNNA-N,NA,NA,NA,NA,NA,UNPD=UNPD202089,GASIUWKYLNTQBN-MWIHLQPNNA-N,NA,NA,NA,NA,NA,NA
C2384,480.277,UNPD207137,2,824.8514645,920.3765,C49H60O17,PODCUTRKQPEUAQ-TVOPIHOCNA-N,NA,NA,NA,NA,NA,UNPD=UNPD207137,PODCUTRKQPEUAQ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2385,479.33525,Clerodendrin H,2,1547.461825,666.2839,C33H46O14,DENBIHXBJSFZFT-ZBMVDJILNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00040925 __ UNPD=UNPD65158,DENBIHXBJSFZFT-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2386,478.4755,Helilupolone,2,1281.149839,462.2757,C30H38O4,LFFGARMIFWEHDF-UHFFFAOYSA-N,"InChI=1S/C30H38O4/c1-20(2)12-14-24-27(32)26(25(31)15-13-23-10-8-7-9-11-23)29(34)30(28(24)33,18-16-21(3)4)19-17-22(5)6/h7-12,16-17,32-33H,13-15,18-19H2,1-6H3",NA,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMPK12120593,NA,NA,"Helilupolone __ 2-hydrocinnamoyl-3,5-dihydroxy-4,6,6-tris(3-methylbut-2-enyl)cyclohexa-2,4-dien-1-one __ 3,5-dihydroxy-4,6,6-tris(3-methylbut-2-enyl)-2-(3-phenylpropanoyl)cyclohexa-2,4-dien-1-one __ 3,5-dihydroxy-4,6,6-tris(3-methylbut-2-enyl)-2-(1-oxo-3-phenylpropyl)-1-cyclohexa-2,4-dienone __ 4,6,6-tris(3-methylbut-2-enyl)-3,5-bis(oxidanyl)-2-(3-phenylpropanoyl)cyclohexa-2,4-dien-1-one",LFFGARMIFWEHDF-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,NA,Benzene and substituted derivatives,This compound belongs to the class of organic compounds known as benzene and substituted derivatives. These are aromatic compounds containing one monocyclic ring system consisting of benzene.
C2387,478.5995,8-iso-15-keto-PGE2,2,1872.126154,350.2102,C20H30O5,YRTJDWROBKPZNV-LSAJIUQUSA-N,"InChI=1S/C20H30O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,16-17,19,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t16-,17+,19?/m0/s1",http://www.hmdb.ca/metabolites/HMDB0002341,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMFA03010030,https://pubchem.ncbi.nlm.nih.gov/compound/5280719#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15547,"8-iso-15-keto-PGE2 __ 8-iso-15-keto-PGE2__5 __ 8-Iso-15-keto-Prostaglandine E2 __ (5Z,8b,11a,13E)-11-hydroxy-9,15-dioxo-Prosta-5,13-dien-1-oate __ (5Z,8b,11a,13E)-11-hydroxy-9,15-dioxo-Prosta-5,13-dien-1-oic acid __ (Z)-7-[(1S,2R)-3-hydroxy-5-oxo-2-[(E)-3-oxooct-1-enyl]cyclopentyl]hept-5-enoic acid __ (Z)-7-[(1S,2R)-3-hydroxy-5-oxo-2-[(E)-3-oxooct-1-enyl]cyclopentyl]-5-heptenoic acid __ (Z)-7-[(1S,2R)-3-hydroxy-5-keto-2-[(E)-3-ketooct-1-enyl]cyclopentyl]hept-5-enoic acid __ (Z)-7-[(1S,2R)-3-oxidanyl-5-oxidanylidene-2-[(E)-3-oxidanylideneoct-1-enyl]cyclopentyl]hept-5-enoic acid",YRTJDWROBKPZNV-LSAJIUQUSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,"This compound belongs to the class of organic compounds known as prostaglandins and related compounds. These are unsaturated carboxylic acids consisting of a 20 carbon skeleton that also contains a five member ring, and are based upon the fatty acid arachidonic acid."
C2388,481.0495,Gingerol,2,7263.416315,294.1861,C17H26O4,NLDDIKRKFXEWBK-UHFFFAOYNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0005783,NA,https://pubchem.ncbi.nlm.nih.gov/compound/442793#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:10136,HMDB=HMDB0005783 __ KNApSAcK=C00002748 __ ChEBI=CHEBI:10136 __ FooDB=FDB001108 __ PubChem=442793 __ PlantCyc=CPD-13494 __ UNPD=UNPD73001,NLDDIKRKFXEWBK-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2389,472.8405,41-O-demethylrapamycin,2,636.0613264,899.5299,C50H77NO13,RGRYVHKBWYXMGM-LWTPZQEWNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0061048,NA,NA,NA,HMDB=HMDB0061048;HMDB0127634 __ Urine=HMDB0061048 __ Serum=HMDB0061048,RGRYVHKBWYXMGM-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2390,474.35025,12S-HHT,2,967.2822691,280.2048,C17H28O3,KUKJHGXXZWHSBG-WBGSEQOASA-N,"InChI=1S/C17H28O3/c1-2-3-10-13-16(18)14-11-8-6-4-5-7-9-12-15-17(19)20/h5-8,11,14,16,18H,2-4,9-10,12-13,15H2,1H3,(H,19,20)/b7-5-,8-6+,14-11+/t16-/m0/s1",http://www.hmdb.ca/metabolites/HMDB0012535,https://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMFA01050195,https://pubchem.ncbi.nlm.nih.gov/compound/5283141#section=Top,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63977,"HHT __ 12S-HHT __ 12-HHTre __ 12(S)-HHT __ hydroxyheptadecatrienate __ hydroxyheptadecatrienoate __ 12-hydroxyheptadecatrienoate __ hydroxyheptadecatrienoic acid __ 12-hydroxyheptadecatrienoic acid __ hydroxyheptadecatrienoic acid anion __ 12(S)-hydroxy-(5Z,8Z,10E)-heptadeca-5,8,10-trienoate __ 12(S)-hydroxy-(5Z,8Z,10E)-heptadeca-5,8,10-trienoic acid __ (5Z,8E,10E,12S)-12-hydroxyheptadeca-5,8,10-trienoic acid __ (12S,5Z,8E,10E)-12-Hydroxy-5,8,10-heptadecatrienoic acid __ (5Z,8E,10E,12S)-12-oxidanylheptadeca-5,8,10-trienoic acid __ 12(S)-hydroxy-(5Z,8Z,10E)-heptadeca-5,8,10-trienoic acid anion",KUKJHGXXZWHSBG-WBGSEQOASA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,This compound belongs to the class of organic compounds known as long-chain fatty acids. These are fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.
C2391,474.0505,ATTO 425-7,2,674.774866,711.3698,C37H53N5O7S,LPVYZZMUDCZDQO-UHFFFAOYNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:51786,ChEBI=CHEBI:51786,LPVYZZMUDCZDQO-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2392,476.8135,Dendronpholide N;(-)-Dendronpholide N__1,2,1022.953713,470.2832,C25H42O8,DNCNDFBVUIHHRL-VJGJFWHVNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00038980 __ UNPD=UNPD70753,DNCNDFBVUIHHRL-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2393,476.303,Chabrolonaphthoquinone A__1,2,1698.94978,420.2236,C27H32O4,UQVKETMBFLZESD-ZEGMUUQVSA-N,"InChI=1S/C27H32O4/c1-18(2)8-5-12-22(27(30)31)13-7-10-19(3)9-6-11-21-14-15-23-24(17-21)26(29)20(4)16-25(23)28/h8-9,13-17H,5-7,10-12H2,1-4H3,(H,30,31)/b19-9+,22-13+",NA,NA,NA,NA,"Chabrolonaphthoquinone A__1 __ (2E,6E)-6-methyl-9-(7-methyl-5,8-dioxo-2-naphthyl)-2-(4-methylpent-3-enyl)nona-2,6-dienoic acid __ (2E,6E)-9-(5,8-diketo-7-methyl-2-naphthyl)-6-methyl-2-(4-methylpent-3-enyl)nona-2,6-dienoic acid __ (2E,6E)-6-methyl-9-(7-methyl-5,8-dioxonaphthalen-2-yl)-2-(4-methylpent-3-enyl)nona-2,6-dienoic acid __ (2E,6E)-6-methyl-9-(7-methyl-5,8-dioxo-2-naphthalenyl)-2-(4-methylpent-3-enyl)nona-2,6-dienoic acid __ (2E,6E)-6-methyl-9-[7-methyl-5,8-bis(oxidanylidene)naphthalen-2-yl]-2-(4-methylpent-3-enyl)nona-2,6-dienoic acid",UQVKETMBFLZESD-ZEGMUUQVSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,This compound belongs to the class of organic compounds known as sesquiterpenoids. These are terpenes with three consecutive isoprene units.
C2394,476.717,Hydroxymycotrienin B,2,1499.671428,652.3343,C36H48N2O9,VFYQTGKSDWNROF-YMMZTMOANA-N,NA,NA,NA,NA,NA,KNApSAcK=C00016218 __ UNPD=UNPD150320,VFYQTGKSDWNROF-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2395,453.7765,Amamistatin B,2,1499.125334,715.3794,C36H53N5O10,ZCNZVZVNVGHAHB-BZIKVGPJNA-N,NA,NA,NA,NA,NA,KNApSAcK=C00027836 __ UNPD=UNPD15050,ZCNZVZVNVGHAHB-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2396,451.572,"cyclohexyl-[(2S,3R)-2-(hydroxymethyl)-1-[(3-methoxyphenyl)methyl]-3-phenyl-1,6-diazaspiro[3.3]heptan-6-yl]methanone",2,1845.077399,434.259,C27H34N2O3,PFMWKVKHLLGSFC-ISIPKWIHNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:126436,ChEBI=CHEBI:126436;CHEBI:126638;CHEBI:128798;CHEBI:130026,PFMWKVKHLLGSFC-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2397,451.431,Cephaeline,2,2128.791611,466.2873,C28H38N2O4,DTGZHCFJNDAHEN-GMMNTXESNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:3533,KNApSAcK=C00001835;C00027384 __ ChEBI=CHEBI:3533 __ PubChem=40467974;442195 __ UNPD=UNPD11384;UNPD14977;UNPD46484,DTGZHCFJNDAHEN-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2398,450.688,Paspalitrem B;3-Methyl-3-hydroxy-1-butenylpaspalinine,2,861.140825,517.2845,C32H39NO5,BZJWARDOYGJZHQ-HGQDLKKINA-N,NA,NA,NA,NA,NA,KNApSAcK=C00023588 __ T3DB=T3D3778 __ UNPD=UNPD193942;UNPD197262;UNPD224424,BZJWARDOYGJZHQ-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2399,454.3015,pinoxaden__1,2,912.0589184,400.2375,C23H32N2O4,MGOHCFMYLBAPRN-UHFFFAOYSA-N,"InChI=1S/C23H32N2O4/c1-7-16-13-15(3)14-17(8-2)18(16)19-20(26)24-9-11-28-12-10-25(24)21(19)29-22(27)23(4,5)6/h13-14H,7-12H2,1-6H3",NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83524,"PINOXADEN __ pinoxaden__1 __ [8-(2,6-diethyl-4-methylphenyl)-7-oxo-1,2,4,5-tetrahydropyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl] 2,2-dimethylpropanoate __ [8-(2,6-diethyl-4-methyl-phenyl)-7-oxo-1,2,4,5-tetrahydropyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl] 2,2-dimethylpropanoate __ 2,2-dimethylpropanoic acid [8-(2,6-diethyl-4-methylphenyl)-7-oxo-1,2,4,5-tetrahydropyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl] ester __ [8-(2,6-diethyl-4-methyl-phenyl)-7-oxidanylidene-1,2,4,5-tetrahydropyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl] 2,2-dimethylpropanoate __ 2,2-dimethylpropionic acid [8-(2,6-diethyl-4-methyl-phenyl)-7-keto-1,2,4,5-tetrahydropyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl] ester",MGOHCFMYLBAPRN-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles,"This compound belongs to the class of organic compounds known as phenylpyrazoles. These are compounds containing a phenylpyrazole skeleton, which consists of a pyrazole bound to a phenyl group."
C2400,454.924,UNPD205056,2,1480.45086,662.3054,C38H46O10,PZOHDYPLDDMKLL-YHPGUIRRNA-N,NA,NA,NA,NA,NA,UNPD=UNPD205056;UNPD205057,PZOHDYPLDDMKLL-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2401,457.49475,Grandisine B;(+)-Grandisine B,2,1199.431347,258.1751,C16H22N2O,QVHSEEKPJUZQLM-FJOQRUOANA-N,NA,NA,NA,NA,NA,KNApSAcK=C00041568 __ UNPD=UNPD132871,QVHSEEKPJUZQLM-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2402,458.126,3-Methoxy-4-hydroxyphenylglycol glucuronide,2,659.2193149,360.1019,C15H20O10,VMWCOZPKGQMCRO-XGPHHGIJNA-N,NA,http://www.hmdb.ca/metabolites/HMDB0000496,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:89405,HMDB=HMDB0000496 __ ChEBI=CHEBI:89405 __ FooDB=FDB022075 __ BMDB=BMDB00496 __ Urine=HMDB0000496 __ Serum=HMDB0000496,VMWCOZPKGQMCRO-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2403,460.10875,M = 345.7525,,467.7433489,345.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2404,461.137,UNPD185986,2,823.0432572,915.4341,C41H65N5O18,VVLFISHNJLAURF-RCUJXYRZNA-N,NA,NA,NA,NA,NA,UNPD=UNPD185986,VVLFISHNJLAURF-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
C2405,460.14925,"2-[3-[(3S,3'S,4'R,6'S,8'R,8'aR)-8'-[1-azocanyl(oxo)methyl]-6'-[2-(2-hydroxyethoxy)phenyl]-1',2-dioxo-3',4'-diphenyl-5-spiro[1H-indole-3,7'-4,6,8,8a-tetrahydro-3H-pyrrolo[2,1-c][1,4]oxazine]yl]prop-2-ynyl]propanedioic acid dimethyl ester",2,3833.704608,853.3529,C50H51N3O10,HWBLKGXNEXHVTK-CVQDPZNXNA-N,NA,NA,NA,NA,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:125234,ChEBI=CHEBI:125234,HWBLKGXNEXHVTK-UHFFFAOYSA-N,NA,NA,NA,NA,NA,NA
